Sample	Status	Cell_state	Cell_type	locus	property	mean	scaled_property
CVID-6-Naive-IGL	CVID	CVID naive	Naive	IGL	hydropathy	0.24866523	-0.252999660131592
CVID-7-Bright-IGL	CVID	CVID bright	Bright	IGL	hydropathy	-0.03972777	-2.53886001407854
CVID-7-Naive-IGL	CVID	CVID naive	Naive	IGL	hydropathy	0.074865595	-1.63057018083407
CVID-8-Bright-IGL	CVID	CVID bright	Bright	IGL	hydropathy	0.2211052	-0.471445946728661
CVID-8-Naive-IGL	CVID	CVID naive	Naive	IGL	hydropathy	0.26212206	-0.146338145508131
CVID-9-Bright-IGL	CVID	CVID bright	Bright	IGL	hydropathy	0.21037285	-0.556512690268492
CVID-9-Naive-IGL	CVID	CVID naive	Naive	IGL	hydropathy	0.15803553	-0.971348712016018
HD-1-Bright-IGL	Healthy	Healthy bright	Bright	IGL	hydropathy	0.43021783	1.18602240523056
HD-1-Naive-IGL	Healthy	Healthy naive	Naive	IGL	hydropathy	0.27529788	-0.0419039721102288
HD-3-Bright-IGL	Healthy	Healthy bright	Bright	IGL	hydropathy	0.5142535	1.85210586207719
HD-3-Naive-IGL	Healthy	Healthy naive	Naive	IGL	hydropathy	0.30951974	0.229345305827595
HD-4-Bright-IGL	Healthy	Healthy bright	Bright	IGL	hydropathy	0.3962076	0.916450548820674
HD-4-Naive-IGL	Healthy	Healthy naive	Naive	IGL	hydropathy	0.24444914	-0.286417229142186
HD-5-Bright-IGL	Healthy	Healthy bright	Bright	IGL	hydropathy	0.43602812	1.2320759209398
HD-5-Naive-IGL	Healthy	Healthy naive	Naive	IGL	hydropathy	0.28256637	0.0157075272120843
Infected-2-Bright-IGL	Infected	Infected bright	Bright	IGL	hydropathy	0.2516639	-0.229231604500665
Infected-2-Naive-IGL	Infected	Infected naive	Naive	IGL	hydropathy	0.20762402	-0.578300464301634
Infected-3-Bright-IGL	Infected	Infected bright	Bright	IGL	hydropathy	0.4091399	1.01895453419947
Infected-3-Naive-IGL	Infected	Infected naive	Naive	IGL	hydropathy	0.29455116	0.110701359626116
Infected-4-Bright-IGL	Infected	Infected bright	Bright	IGL	hydropathy	0.44231614	1.28191601977308
Infected-4-Naive-IGL	Infected	Infected naive	Naive	IGL	hydropathy	0.32669476	0.365477934900581
Infected-5-Bright-IGL	Infected	Infected bright	Bright	IGL	hydropathy	0.41994056	1.10456271640383
Infected-5-Naive-IGL	Infected	Infected naive	Naive	IGL	hydropathy	0.3177128	0.294285131105977
CVID-2-Bright-IGK	CVID	CVID bright	Bright	IGK	volume	108.92023	1.19415630222961
CVID-2-Naive-IGK	CVID	CVID naive	Naive	IGK	volume	108.079475	0.327397583253134
CVID-4-Bright-IGK	CVID	CVID bright	Bright	IGK	volume	108.050095	0.297108888968198
CVID-4-Naive-IGK	CVID	CVID naive	Naive	IGK	volume	107.91696	0.159856155352662
CVID-5-Bright-IGK	CVID	CVID bright	Bright	IGK	volume	107.423035	-0.349345455426294
CVID-5-Naive-IGK	CVID	CVID naive	Naive	IGK	volume	107.38721	-0.386278487174347
CVID-6-Bright-IGK	CVID	CVID bright	Bright	IGK	volume	107.78297	0.0217219774344147
CVID-6-Naive-IGK	CVID	CVID naive	Naive	IGK	volume	107.36753	-0.406567170071805
CVID-7-Bright-IGK	CVID	CVID bright	Bright	IGK	volume	104.83599	-3.01640519355988
CVID-7-Naive-IGK	CVID	CVID naive	Naive	IGK	volume	105.85987	-1.96085759980708
CVID-8-Bright-IGK	CVID	CVID bright	Bright	IGK	volume	105.963615	-1.85390386976656
CVID-8-Naive-IGK	CVID	CVID naive	Naive	IGK	volume	106.64498	-1.15146492553737
CVID-9-Bright-IGK	CVID	CVID bright	Bright	IGK	volume	107.06947	-0.713845870499557
